latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.75,90.375,8.0,21600,Asia/Dhaka,+06

time,temperature_2m (Â°F)
2023-12-13T00:00,64.0
2023-12-13T01:00,63.4
2023-12-13T02:00,63.4
2023-12-13T03:00,63.5
2023-12-13T04:00,63.7
2023-12-13T05:00,63.5
2023-12-13T06:00,62.8
2023-12-13T07:00,62.8
2023-12-13T08:00,65.3
2023-12-13T09:00,68.8
2023-12-13T10:00,71.6
2023-12-13T11:00,73.7
2023-12-13T12:00,75.4
2023-12-13T13:00,76.3
2023-12-13T14:00,76.7
2023-12-13T15:00,76.1
2023-12-13T16:00,74.9
2023-12-13T17:00,71.8
2023-12-13T18:00,69.5
2023-12-13T19:00,68.3
2023-12-13T20:00,67.4
2023-12-13T21:00,66.6
2023-12-13T22:00,65.9
2023-12-13T23:00,65.0
2023-12-14T00:00,64.0
2023-12-14T01:00,63.3
2023-12-14T02:00,62.8
2023-12-14T03:00,62.0
2023-12-14T04:00,61.0
2023-12-14T05:00,60.0
2023-12-14T06:00,59.2
2023-12-14T07:00,58.7
2023-12-14T08:00,60.9
2023-12-14T09:00,65.2
2023-12-14T10:00,69.0
2023-12-14T11:00,72.2
2023-12-14T12:00,74.4
2023-12-14T13:00,75.3
2023-12-14T14:00,75.2
2023-12-14T15:00,74.5
2023-12-14T16:00,73.3
2023-12-14T17:00,70.7
2023-12-14T18:00,68.2
2023-12-14T19:00,66.5
2023-12-14T20:00,65.3
2023-12-14T21:00,63.9
2023-12-14T22:00,62.6
2023-12-14T23:00,61.5
2023-12-15T00:00,60.7
2023-12-15T01:00,59.9
2023-12-15T02:00,59.0
2023-12-15T03:00,58.3
2023-12-15T04:00,57.8
2023-12-15T05:00,57.3
2023-12-15T06:00,57.0
2023-12-15T07:00,56.7
2023-12-15T08:00,59.5
2023-12-15T09:00,63.8
2023-12-15T10:00,67.8
2023-12-15T11:00,71.0
2023-12-15T12:00,73.4
2023-12-15T13:00,74.8
2023-12-15T14:00,75.2
2023-12-15T15:00,74.7
2023-12-15T16:00,73.6
2023-12-15T17:00,70.9
2023-12-15T18:00,68.1
2023-12-15T19:00,66.2
2023-12-15T20:00,64.8
2023-12-15T21:00,63.6
2023-12-15T22:00,62.6
2023-12-15T23:00,61.8
2023-12-16T00:00,60.9
2023-12-16T01:00,60.0
2023-12-16T02:00,59.2
2023-12-16T03:00,58.6
2023-12-16T04:00,58.0
2023-12-16T05:00,57.5
2023-12-16T06:00,57.0
2023-12-16T07:00,56.8
2023-12-16T08:00,59.5
2023-12-16T09:00,63.8
2023-12-16T10:00,67.8
2023-12-16T11:00,70.9
2023-12-16T12:00,73.3
2023-12-16T13:00,74.6
2023-12-16T14:00,75.2
2023-12-16T15:00,74.9
2023-12-16T16:00,73.9
2023-12-16T17:00,71.8
2023-12-16T18:00,69.6
2023-12-16T19:00,68.0
2023-12-16T20:00,66.5
2023-12-16T21:00,65.3
2023-12-16T22:00,64.1
2023-12-16T23:00,63.1
2023-12-17T00:00,62.3
2023-12-17T01:00,61.7
2023-12-17T02:00,61.2
2023-12-17T03:00,60.8
2023-12-17T04:00,59.9
2023-12-17T05:00,59.1
2023-12-17T06:00,59.2
2023-12-17T07:00,60.7
2023-12-17T08:00,63.0
2023-12-17T09:00,65.6
2023-12-17T10:00,68.7
2023-12-17T11:00,71.9
2023-12-17T12:00,74.3
2023-12-17T13:00,75.5
2023-12-17T14:00,75.7
2023-12-17T15:00,75.3
2023-12-17T16:00,74.1
2023-12-17T17:00,72.2
2023-12-17T18:00,70.3
2023-12-17T19:00,68.7
2023-12-17T20:00,67.1
2023-12-17T21:00,65.7
2023-12-17T22:00,64.3
2023-12-17T23:00,62.9
2023-12-18T00:00,61.8
2023-12-18T01:00,61.3
2023-12-18T02:00,61.1
2023-12-18T03:00,60.8
2023-12-18T04:00,60.0
2023-12-18T05:00,59.1
2023-12-18T06:00,59.1
2023-12-18T07:00,60.7
2023-12-18T08:00,63.2
2023-12-18T09:00,65.9
2023-12-18T10:00,68.9
2023-12-18T11:00,71.9
2023-12-18T12:00,74.1
2023-12-18T13:00,75.0
2023-12-18T14:00,75.2
2023-12-18T15:00,74.6
2023-12-18T16:00,73.0
2023-12-18T17:00,70.7
2023-12-18T18:00,68.7
2023-12-18T19:00,67.2
2023-12-18T20:00,66.2
2023-12-18T21:00,65.2
2023-12-18T22:00,64.4
2023-12-18T23:00,63.6
2023-12-19T00:00,63.0
2023-12-19T01:00,62.3
2023-12-19T02:00,61.6
2023-12-19T03:00,60.8
2023-12-19T04:00,59.9
2023-12-19T05:00,59.1
2023-12-19T06:00,59.1
2023-12-19T07:00,60.4
2023-12-19T08:00,62.6
2023-12-19T09:00,65.0
2023-12-19T10:00,68.0
2023-12-19T11:00,71.2
2023-12-19T12:00,73.6
2023-12-19T13:00,74.7
2023-12-19T14:00,74.9
2023-12-19T15:00,74.3
2023-12-19T16:00,72.8
2023-12-19T17:00,70.6
2023-12-19T18:00,68.6
2023-12-19T19:00,67.2
2023-12-19T20:00,66.1
2023-12-19T21:00,65.0
2023-12-19T22:00,63.9
2023-12-19T23:00,62.8
